"","length","count","density","type"
"1",7,84,0.736842105263158,"deletion"
"2",8,24,0.210526315789474,"deletion"
"3",9,5,0.043859649122807,"deletion"
"4",10,0,0,"deletion"
"5",11,1,0.0087719298245614,"deletion"
"6",12,0,0,"deletion"
"7",13,0,0,"deletion"
"8",14,0,0,"deletion"
"9",15,0,0,"deletion"
"10",16,0,0,"deletion"
"11",17,0,0,"deletion"
"12",18,0,0,"deletion"
"13",19,0,0,"deletion"
"14",20,0,0,"deletion"
"15",7,223,0.703470031545741,"satellite"
"16",8,67,0.211356466876972,"satellite"
"17",9,20,0.0630914826498423,"satellite"
"18",10,5,0.0157728706624606,"satellite"
"19",11,2,0.00630914826498423,"satellite"
"20",12,0,0,"satellite"
"21",13,0,0,"satellite"
"22",14,0,0,"satellite"
"23",15,0,0,"satellite"
"24",16,0,0,"satellite"
"25",17,0,0,"satellite"
"26",18,0,0,"satellite"
"27",19,0,0,"satellite"
"28",20,0,0,"satellite"
